track_id,track_name,track_duration_ms,track_popularity,track_genres,album_id,album_name,album_release_date,album_label,artist_ids,artist_names,release_year,track_duration_sec
4B11Mu9vBQjSIBfJihf6aC,Dancing With Infinity - Franny J. Remix,158571,31,"['big room', 'progressive house']",53Ip1i2OlbM9uN0xkWw1E8,Dancing With Infinity (Franny J. Remix),2026-01-02,,"['69pPboQes8it3uCuKTF3l9', '3w7gOS9jm6Savw7GcKquce']","['Josh Le Tissier', 'Franny J.']",2026,158.571
57iXPMAiugdlF2atp9rfVV,Simulation,154995,21,"['future house', 'edm', 'big room', 'progressive house', 'bass house']",0hJDUUbcXETGKNGNR8nDYo,Simulation,2025-10-10,,"['554qDHSwsDfX0qOfyxQjWs', '6aaMlV5Qz8DK66IWgwoUH8']","['KROMI', 'Revealed Recordings']",2025,154.995
75ushKO8XOOQbpJMgCxgMw,I Keep Going Till My Speaker Xplodes,163200,42,"['eurodance', 'hypertechno', 'hard techno', 'bounce', 'techno', 'hard house', 'trance']",6hHdeaPkYay0AfOgi5JWba,I Keep Going Till My Speaker Xplodes,2025-12-19,,"['629DRpzxtk6FhLuqMfSqqP', '2n7VLaVMlGpxqmt05OiMCB']","['Mika Heggemann', 'DJ GUESTLIST']",2025,163.2
0fucKEgDcDPAua5VW3BcPG,Go With The Flow,187894,40,"['hard techno', 'acid techno', 'techno']",5I0wGiloRDx8o8telKTC4R,Go With The Flow,2025-11-21,,['4lOUAtosaRwWeCoiIeLeQM'],['SHVDZ'],2025,187.894
53VFQ23T8h7f4ECrih68nP,Sh*t's On F*re,244800,52,"['dub', 'deathstep', 'drumstep', 'edm', 'riddim', 'bass music', 'future bass', 'dubstep']",6jlXZqo4qk0Fge6efnXXfS,Sh*t's On F*re,2026-01-07,,['4FXGRMSHh2JjHxVwS8dhH1'],['Virtual Riot'],2026,244.8
6Q6azhdz0iwaHhcCLsj9k5,Move It,214153,40,['tech house'],1Q45n2hY2QgvXrZrJJkmgn,Move It,2026-01-09,,['0i8KSp7ollqyAfIpNNpM6r'],['Zaark'],2026,214.153
4RrYrbwrxadP8t4j4mgljH,DEAD SERIOUS,232503,45,"['hard techno', 'acid techno', 'techno', 'tekno']",4LX27m1IP4MAkoOLFLTaDy,DEAD SERIOUS,2026-01-09,,['0ZdNs1hU6aAiaZxvFbtDWF'],['Shlømo'],2026,232.503
0UD3OhV1SPGU6dxBPhZJyX,Acid 303,216923,33,"['melodic techno', 'melodic house', 'progressive house']",53714zN4NZPXfOCIXlG21y,Acid 303,2025-12-05,,['4TQYeGRT2Hvu4rcJ8HpZAv'],['Innēr Sense (ofc)'],2025,216.923
77UBLe8jlRIxn8AsouUtS1,EYES,213375,45,"['tech house', 'indie dance']",02vJlON5DhAy9I73azuKcx,EYES,2025-12-19,,['0Bg1joLOL52mJS0kf0pIDx'],['Roddy Lima'],2025,213.375
2zN3ouj0hs2LnXe7ZIa3l2,Hit'Em With The Bass,182787,45,"['hard techno', 'acid techno', 'techno', 'tekno']",1xqGbYq5cmctqjZdNiFgn2,P-51 - EP,2026-01-02,,['5FgLkieOqGXPn01dnbJp9Z'],['T78'],2026,182.787
6kLQdFUndnieCHJtfFnspR,Here For You,271727,34,"['hard techno', 'acid techno', 'techno', 'tekno']",1dwlQgsxJR68IvS0rOfSPj,Here For You,2025-12-29,,"['79OM7a2ey5mIcYnfGJUGnL', '4cPhyd2BTkwlq4fyXo4riK']","['Cynthia Spiering', 'AREA ØNE']",2025,271.727
2BVyRnQTr2by4dvTdhP6LI,Contact,187279,64,"['uk garage', 'breakbeat', 'house']",1sCsiqGXef6RuggffHQKSS,Contact,2026-01-09,,"['4VNQWV2y1E97Eqo2D5UTjx', '6uJ51uV5rYzu1MJkC4CceI']","['Gorgon City', 'Interplanetary Criminal']",2026,187.279
7e5S2rMuJtJNdqTGXflxsn,Mind Dimension - Adam Sellouk Remix,219692,54,"['melodic techno', 'electroclash', 'melodic house']",5JcItSeupngDftJZmxCEiz,Mind Dimension (Adam Sellouk Remix),2026-01-09,,"['5l9wiTZVfqQTfMDOt0HtwC', '2T7HN3rqTpIn8OiVb0I5oq']","['Tiga', 'Adam Sellouk']",2026,219.692
