track_id,track_name,track_duration_ms,track_popularity,track_genres,album_id,album_name,album_release_date,album_label,artist_ids,artist_names,release_year,track_duration_sec,source_playlist_id
6dMHdkQmWuDuDltWjBLJBd,Karate,210000,52,"['electronica', 'big room', 'edm', 'slap house']",2d08mANNHmeIsJLnbqE6NU,Karate,2014-12-29,,"['6cEuCEZu7PAE9ZSzLLc2oQ', '2wX6xSig4Rig5kZU6ePlWe']","['R3HAB', 'KSHMR']",2014.0,210.0,67PaYmoZUrRaSXaWEIJglP
1jTKIuhvCHygnnY4QnUvyv,Louder - Radio Edit,153784,52,"['electro', 'big room', 'slap house', 'electronica', 'melbourne bounce', 'edm']",7IdKpXiJU049bx6jqbERFc,Louder,2015-02-13,,"['73jBynjsVtofjRpdpRAJGk', '4mrBetqy378Jf1y6NLszlx']","['Dimitri Vegas & Like Mike', 'VINAI']",2015.0,153.784,67PaYmoZUrRaSXaWEIJglP
6Wn8IWKu9DmkSlAdQBkihy,Blaze,178124,0,"['electro house', 'progressive house', 'big room', 'edm']",5TkPkBikzWsLa4HcfH9rOf,Blaze,2016-06-06,,['1PFc84GHTYPL0G12JHh9Mc'],['Dannic'],2016.0,178.124,67PaYmoZUrRaSXaWEIJglP
7cuRgdYlesmnGmVaZwhkda,Rave After Rave,161953,51,"['edm', 'big room']",41V55bmGvx8iRO38sl2d6W,Rave After Rave,2015-03-16,,['2rTo8KIkBTFjQS7VvaKYQ4'],['W&W'],2015.0,161.953,67PaYmoZUrRaSXaWEIJglP
2o14Vlk8DjSfBGx8WEEOoy,Booyah (feat. We Are Loud & Sonny Wilson),311211,0,"['hardstyle', 'electronica', 'big room', 'edm']",18pCTQW1mXMxnzG9NEp9Ug,Booyah,2013-11-13,,"['3gk0OYeLFWYupGFRHqLSR7', '3gTl4XARdQR2Sy59osG0Ia', '2INDI0xc49oGYTZC7fBZjX']","['Showtek', 'Sonny Wilson', 'We Are Loud']",2013.0,311.211,67PaYmoZUrRaSXaWEIJglP
4f3NHOxgC8Bg21IJBg4cZ3,Freaks - Radio Edit,169160,15,"['melbourne bounce', 'big room']",2XuqIiYNrr15UYsmll2B3z,Freaks,2014-03-10,,"['0CbeG1224FS58EUx4tPevZ', '1GbrJTB56Xs4XQGlmVbaCf']","['Timmy Trumpet', 'Savage']",2014.0,169.16,67PaYmoZUrRaSXaWEIJglP
0vZCG0H9KhtU7K8MEUVAoV,Tsunami,236706,70,"['electronica', 'big room', 'edm']",7p38vlEZaMNySKQVSSWUm8,Tsunami,2013-09-02,,"['5X4LWwbUFNzPkEas04uU82', '4uiMn2g0pgTrhN096QJhbp']","['DVBBS', 'Borgeous']",2013.0,236.706,67PaYmoZUrRaSXaWEIJglP
52zeJeJrFqKmJBc4FK6767,Ocarina,294880,42,"['electronica', 'electro', 'big room', 'edm']",6Zx2x056mvHEI6A48g72Jp,Ocarina,2015-04-04,,"['73jBynjsVtofjRpdpRAJGk', '74ycentHh1YZrW5x4PLnox']","['Dimitri Vegas & Like Mike', 'Wolfpack']",2015.0,294.88,67PaYmoZUrRaSXaWEIJglP
07nH4ifBxUB4lZcsf44Brn,Blame (feat. John Newman),212960,84,['edm'],48zisMeiXniWLzOQghbPqS,Motion,2014-10-31,,"['7CajNmpbOovFoOoasH2HaY', '34v5MVKeQnIo0CWYMbbrPf']","['Calvin Harris', 'John Newman']",2014.0,212.96,67PaYmoZUrRaSXaWEIJglP
7MmG8p0F9N3C4AXdK6o6Eb,Outside (feat. Ellie Goulding),227266,89,['edm'],48zisMeiXniWLzOQghbPqS,Motion,2014-10-31,,"['7CajNmpbOovFoOoasH2HaY', '0X2BH1fck6amBIoJhDVmmJ']","['Calvin Harris', 'Ellie Goulding']",2014.0,227.266,67PaYmoZUrRaSXaWEIJglP
