track_id,track_name,track_duration_ms,track_popularity,track_genres,album_id,album_name,album_release_date,album_label,artist_ids,artist_names,release_year,track_duration_sec,source_playlist_id,playlist_name,playlist_owner,user_id
4N90rKC3I3BQyROLHtXFIc,IDGAF,201600,29,"['dubstep', 'edm trap', 'crunk']",3wAV4RmAtuVVKUy7HWrK2i,IDGAF,2025-02-14,,"['2FmzVitXZjIkFolH8HXd4j', '7sfl4Xt5KmfyDs2T3SVSMK']","['Flosstradamus', 'Lil Jon']",2025,201.6,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
5hINmK2dM9AyxpPC2AclAI,STYLEZ,173400,40,"['dubstep', 'g-house', 'riddim', 'deathstep', 'bass music', 'bass house']",5aqCmVimZYeCH64EUSPYQw,STYLEZ,2025-02-14,,"['1htHgbGwgCWJBfGiQwcRqC', '1s6bMklFjSRcrMy2FtobWM']","['Dr. Fresch', 'Calcium']",2025,173.4,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
5g25NbR1XTe48Wmz17rh7R,I Think I Like You (feat. CHYL),177600,28,"['g-house', 'happy hardcore', 'big room', 'bass house']",363ZIyafmc3TxEhPuZfoJZ,I Think I Like You (feat. CHYL),2025-02-21,,"['4FS6bomikvJR2E9JHNwiAM', '5RqV5Ga5EPI4NlgsiELB4m', '15HOfHbNWedCAcJ3Cm1mbc']","['RayRay', 'DJ Mii', 'CHYL']",2025,177.6,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
4d9PS5dlzlRd3oGhNLxPCb,GET SMACKED,220350,50,"['edm', 'dubstep', 'riddim', 'melodic bass', 'deathstep', 'bass music']",4fxtTnPxoJpfL2z9FgFZ2j,GET SMACKED,2025-03-07,,"['2K9qsrYnsu1EWt7ZQkkuXb', '5dqKDhDTrjMvSExBmfMNeH']","['Ray Volpe', 'Vastive']",2025,220.35,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
2K1Grx3at2GH9ErGX1o9NV,Whiplash,195114,59,"['edm', 'dubstep', 'riddim', 'deathstep', 'bass house']",3JYuC5TTDbobgRCKo38xW9,Whiplash,2025-03-14,,"['5lCekoJW9jNq01B1wiqdAb', '5JQzXeT8vXc1N4Y6tGenCb']","['Crankdat', 'SOFI']",2025,195.114,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
6iDOGlPGVC380H9ufZUQJb,Try Again,244883,41,"['dubstep', 'riddim', 'deathstep']",6CxSfaeeQFlzmcn0uc4jSo,Try Again,2025-04-04,,['0qPGd8tOMHlFZt8EA1uLFY'],['RIOT'],2025,244.883,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
4RIqJleQdPOg4KSo6uTmtK,PAYBACK,219230,52,"['edm', 'dubstep', 'riddim', 'melodic bass', 'deathstep', 'bass music']",1PFMCeY6VJm60Vmtl3mEk0,PAYBACK,2025-04-18,,['2K9qsrYnsu1EWt7ZQkkuXb'],['Ray Volpe'],2025,219.23,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
3kVErhT9snahjQ9MI7M0XM,Run Away,176000,26,"['dubstep', 'riddim', 'melodic bass', 'deathstep', 'bass music', 'bass house']",4MprVYIKWz4MfELqvzjSqT,Rave New World (Album Sampler),2024-12-11,,"['4odLDriBk6oEZotzLPTSnD', '3UFeSCo9XJzKNt0Y2Yq1Hb', '15HOfHbNWedCAcJ3Cm1mbc', '1smczP1QDorQcyiGA69tF6']","['Jessica Audiffred', 'Softest Chyl', 'CHYL', 'Softest Hard']",2024,176.0,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
2NehwPxlC828pU6haiVlLw,"Blood, Sweat & Fears",235285,30,"['deathstep', 'bass music', 'riddim', 'dubstep']",6LjYniixLem2Xw9bphEEfS,"Blood, Sweat & Fears",2025-05-23,,['1sJO9NMvEseJKrVeXEwTqB'],['Perry Wayne'],2025,235.285,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
3wecO1VIkqi4pznzPh1BWz,RELOADED,228804,52,"['edm', 'dubstep', 'riddim', 'dub', 'deathstep', 'bass music', 'bass house']",4Nva0ALH9eQw7jwWRi8Z6k,RELOADED,2025-05-23,,"['540vIaP2JwjQb9dm3aArA4', '37PZXblQTqpEWGdjctNcGP']","['DJ Snake', 'Space Laces']",2025,228.804,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
7nONHlO1Mb3lKv4DAouhxV,BRING THE PAIN,152275,42,"['dubstep', 'riddim', 'deathstep']",4qakMhyffJ12zn4qGHSrjR,BRING THE PAIN,2025-06-13,,"['75vCyksqhYjtt5VIpc8g7u', '2ozQcs5XxFaj5fvA02zhwo', '67RWyN1fDOu7WuSTIi5hE7']","['DJ DIESEL', 'LAYZ', ""Shaquille O'Neal""]",2025,152.275,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
5twIUTVteUEWdWaN1CjYBl,REWIND,198800,54,"['edm', 'dubstep', 'riddim', 'melodic bass', 'deathstep', 'bass music']",3B0PsoElT0yfsrnJ0p3HyI,REWIND,2025-05-30,,"['2K9qsrYnsu1EWt7ZQkkuXb', '1CXuuw8HJhyN80HlNzvL1e']","['Ray Volpe', 'Sullivan King']",2025,198.8,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
7CGRpbovLSEoaLlL5UKqvh,Hooked (On A Feeling),201930,55,"['drum and bass', 'liquid funk']",7rjAAdIWlanmu1aVPj5HVT,Hooked (On A Feeling),2025-06-06,,"['6Qcn4TflUyLRoA6w44IQSU', '22WNm8HQaXcq3qYDowNUDt']","['Freaks & Geeks', 'Sophie-Grace']",2025,201.93,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
6CT5bIT2xJ776subCQoxwd,Operator,111627,48,"['drum and bass', 'edm', 'big room', 'electro house', 'bass house', 'future house']",0v1cjI2NqvI8Quiq2s2SS8,Operator,2025-06-13,,"['0ycvq8upLhNmddPdQXhLOy', '2vUCVkeZjzDcaoX4gagHdV']","['Arcando', 'Julian Jordan']",2025,111.627,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
62z0VrPN4cAUSGqbQlSGFI,In My Arms - Wooli Remix,195310,59,"['future bass', 'edm', 'dubstep', 'riddim', 'melodic bass', 'deathstep', 'bass music']",4cOQhLoZq8oKbLuqnGICph,In My Arms (Wooli Remix),2025-07-04,,"['45eNHdiiabvmbp4erw26rg', '4yX6mpMyBGf9UfvBB8JJrc', '1Uyqa2sdHm1bL5JK4IC4zc']","['ILLENIUM', 'HAYLA', 'Wooli']",2025,195.31,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
2zJEJNYyI45ekNQbJQ2oTf,What U Got,168053,51,"['edm trap', 'future bass', 'edm', 'dubstep', 'riddim', 'dub', 'deathstep', 'bass music', 'drumstep']",3pT7yoj0eMAguauZW5dOk2,What U Got,2025-07-14,,"['4FXGRMSHh2JjHxVwS8dhH1', '7HeSEuZA4D7EtdygBjCbi9']","['Virtual Riot', 'Viperactive']",2025,168.053,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
