track_id,track_name,track_duration_ms,track_popularity,track_genres,album_id,album_name,album_release_date,album_label,artist_ids,artist_names,release_year,track_duration_sec,source_playlist_id,playlist_name,playlist_owner
3n4p9wJEgt4szBc92wPwmu,絶絶絶絶対聖域,213868,53,"['j-rock', 'anime', 'j-pop']",0qsnfQzcoZgycLGjJ9zKom,絶絶絶絶対聖域,2024-03-20,,"['7Il739Q5W4yJUYC3hfnX6z', '1qM11R4ylJyQiPJ0DffE9z']","['ano', 'Lilas']",2024,213.868,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
0MeHRnQ5yMiVyMFhzeexsx,LIKE、重ねていく,214626,34,['j-pop'],1tsGrx0UUAWeEUyjHZoBBI,LIKE、重ねていく,2024-03-27,,"['6Gb2Ypn3fY7iNn9aHQDu85', '1qM11R4ylJyQiPJ0DffE9z']","['Ikusaburo Yamazaki', 'Lilas']",2024,214.626,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
2XVA56xwUF6f0JhlDcyVul,NEW KAWAII,265787,38,['j-pop'],3As9rzC9fTrpvjIuRYjwZP,NEW KAWAII,2024-03-22,,['4v5IVXt3oH0iNuxW9O36BV'],['FRUITS ZIPPER'],2024,265.787,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
1H3qOzheTPhE7aVvJOWfvA,美しい鰭,211920,68,"['j-rock', 'kayokyoku', 'j-pop']",5u95y591xPiCFY3UI5gHqY,ひみつスタジオ,2023-05-17,,['5kjGRHClVacSyllOUqU1S0'],['SPITZ'],2023,211.92,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
5F3032rq3MJG7cDjRtj0wo,Can't Get Over You,245066,56,['k-ballad'],7g7kanYeDjN7vPQHW7wFhd,"Queen of Tears (Original Television Soundtrack), Pt.6",2024-04-06,,['4qRXrzUmdy3p33lgvJEzdv'],['Paul Kim'],2024,245.066,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
1mv4lh1rW1K6xhxhJmEezy,Music Sounds Better With You - Radio Edit,260906,79,['french house'],7Kusf5plZjl76X5ARWJbNO,Music Sounds Better With You,1998-07-20,,"['2w7IutHv5g4e8LumrwtjWR', '2XOvFG8pp1XAV1V6ZJABim', '24JRvbKfTcF2x7c2kCCJrW', '41vv2Tj1knysv6MuFUmdwi']","['Stardust', 'Benjamin Diamond', 'Alan Braxe', 'Thomas Bangalter']",1998,260.906,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
3oELxRDbAzyvOodhd5FQzB,Past Lives,153103,78,"['future bass', 'edm']",4jNIqI2lx1BbXDoBzqjqqI,Past Lives,2023-07-14,,"['4wOqWyXZiVMLchDC2H9CyP', '41rVuRHYAiH7ltBTHVR9We']","['sapientdream', 'Slushii']",2023,153.103,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
0UaaFmF3xUwMjnuAHBq7qL,Love You With All My Heart,244186,70,"['k-rap', 'k-ballad', 'k-pop']",0B0JmGO8lQYuqxn02gcFvx,"Queen of Tears (Original Television Soundtrack), Pt.4",2024-03-24,,['6aLdhHUqgdKE86xbtNmY8g'],['Crush'],2024,244.186,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
2JxXcCgVx61AI0MOUoXC68,잘자요 아가씨 (Prod. 과나),113302,56,[],6OaL36lNTWHPlFA9Y8bql3,잘자요 아가씨,2024-02-29,,['660U1sbp7uNWcb2BYcQHAK'],['ASMRZ'],2024,113.302,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
12n9WBfLII5EdQFzQiQFqv,Wish,237426,54,['k-ballad'],0I9P3bt2K8NAB97yh7uBPf,"Hometown Cha-Cha-Cha, Pt. 4 (Original Television Soundtrack)",2021-09-25,,['6qvVoPGEqNCyYSjYCgfV1v'],['Choi Yu Ree'],2021,237.426,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
1BNSDxmYI6ROKc0l4ZGxB9,うぇるかむとぅ〜ざ♡ふるっぱー！,280672,30,['j-pop'],1yqkn4Piqz9k6zS5csDap4,NEW KAWAII,2024-04-10,,['4v5IVXt3oH0iNuxW9O36BV'],['FRUITS ZIPPER'],2024,280.672,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
35U3xjz99BvN931qImffrk,ハピチョコ,241846,41,['j-pop'],1yqkn4Piqz9k6zS5csDap4,NEW KAWAII,2024-04-10,,['4v5IVXt3oH0iNuxW9O36BV'],['FRUITS ZIPPER'],2024,241.846,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
