track_id,track_name,track_duration_ms,track_popularity,track_genres,album_id,album_name,album_release_date,album_label,artist_ids,artist_names,release_year,track_duration_sec,source_playlist_id,playlist_name,playlist_owner
1SdQjKRW52cHg2SEesQLvH,Physical (feat. Troye Sivan),192799,74,['pop'],6I0FquHLCtYJqAgQMmtyr7,Physical (feat. Troye Sivan),2025-03-28,,"['6M2wZ9GZgrQXHCFfjv46we', '3WGpXCj9YhhfX11TToZcXP']","['Dua Lipa', 'Troye Sivan']",2025,192.799,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
35ISBknsCeZQtq66xABI9g,Messy,284066,89,[],3uTpTaMOynCYKV5AtgeO2U,This Wasn't Meant For You Anyway,2024-06-21,,['67FB4n52MgexGQIG8s0yUH'],['Lola Young'],2024,284.066,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
7HgLu0qMjA5LjhV5z1TStO,CREAM,234000,59,"['j-rock', 'anime', 'japanese indie', 'j-pop']",4ILJuj0TEjQ1CI17ZzDXZy,CREAM,2025-05-22,,['38WbKH6oKAZskBhqDFA8Uj'],['ZUTOMAYO'],2025,234.0,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
2XlTBc7XOzyunDf3Oqsfpk,Watch me!,186193,75,"['anime', 'j-pop']",1M2XEzXjHUbVfMVfwMTPYc,Watch me!,2025-05-18,,['64tJ2EAv1R6UaZqc4iOCyj'],['YOASOBI'],2025,186.193,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
1N2sFj45WQQBRDTYGV0BdF,Shake That,172007,42,"['bass house', 'stutter house']",56Up40fpqIi7IyCvZ7Y4if,Shake That,2025-06-20,,['1ic0FHNGIjXZAWH6O6Reif'],['Ship Wrek'],2025,172.007,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
7862eM8YWFXUpBJyBY0BqZ,とくべチュ、して,239013,51,['j-pop'],0YhK82LUrchpKmRZNMQwrP,とくべチュ、して ／ 恋人以上、好き未満,2025-02-26,,['1j2WhcTW00Zd2SjFYsJVc6'],['=LOVE'],2025,239.013,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
3KtwMkj9gml6BDeYlyS8nG,かわいいだけじゃだめですか？,251173,57,['j-pop'],1cJaqr9y6AvJqQgNpwVNRD,かわいいだけじゃだめですか？,2024-09-09,,['3PLCOySHJ9zwED5yZvDtPZ'],['CUTIE STREET'],2024,251.173,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
7uauGYNMQm1ABcSsNSp3R4,ひたむきシンデレラ！,227866,49,['j-pop'],6PzbN3SKc1wp74WXaR995k,かわいいだけじゃだめですか？,2024-11-13,,['3PLCOySHJ9zwED5yZvDtPZ'],['CUTIE STREET'],2024,227.866,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
7rDBnVl5x89WuhWmmLRQfU,ラブトレ,198800,47,['j-pop'],7MBFV60Ea2mPYvE3630MZ3,ラブトレ,2025-02-26,,['3PLCOySHJ9zwED5yZvDtPZ'],['CUTIE STREET'],2025,198.8,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
7wMq8dkhjeQwHGqsd4e2e5,See U Tonight (feat. YUNAH & MINJU of ILLIT),130442,57,['k-pop'],3L7juwMuzU6WGN0Xeud70V,See U Tonight (feat. YUNAH & MINJU of ILLIT),2025-05-06,,"['20EGKg0XsxPJ0GRHxfb9LX', '36cgvBn0aadzOijnjjwqMN']","['Kylie Cantrall', 'ILLIT']",2025,130.442,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
6uosenLUNFZtOIih5T0qfV,LOVE ATTACK,181560,59,['k-pop'],0msC9kyzmtznRwIxwafISH,SCENEDROME,2024-08-27,,['5deOsjuFTKrNMJW3rKuL8S'],['RESCENE'],2024,181.56,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
