track_id,track_name,track_duration_ms,track_popularity,track_genres,album_id,album_name,album_release_date,album_label,artist_ids,artist_names,release_year,track_duration_sec
38NwjqZJ024VDR8PDr8blU,Count Up,212502,43,[],02Ih1EGsk0rjnG0Bu1YaNu,Count Up,2025-07-11,,['41TOOGX3nHghrVvmDJDHhQ'],['OKAYVAL'],2025,212.502
54gbT3Z51KXbmeGwp2DZBC,Let Me Show You,127272,49,"['hard house', 'house', 'tech house']",3gJ9wr05mkqkZlR2hVF5xU,Let Me Show You,2025-07-18,,"['1aHPNBPSjYv4vHc2pU37Xf', '43BxCL6t4c73BQnIJtry5v']","['Camisra', 'James Hype']",2025,127.272
0WC0Bc4o1CMe1wUyYsjDYp,Freak (feat. Miggy Dela Rosa),160930,36,"['acid house', 'house', 'tech house', 'chicago house']",3isoooL3giUjomL7yCPw1T,Freak (feat. Miggy Dela Rosa),2025-07-18,,"['2Di8r9df6xjyj6CVOqbGVz', '6tCJN1fQNdFCEaOa8Da9Wf', '45ruzGUmIr8WLjLOPJ9mGU']","['Marshall Jefferson', 'JADED', 'Miggy Dela Rosa']",2025,160.93
6BncYZXMziA92F0NXzaNCO,Feel The Vibe,166615,40,"['latin house', 'tech house']",63EMBM13eDtz080tLymi6s,Feel The Vibe,2025-07-11,,['0k52cXAjNIDjZOE1WDEV93'],['NOME.'],2025,166.615
4zVW72cpTOZZ8v7c0caayk,Pyro,147272,50,"['future house', 'bass house', 'big room', 'edm']",5ZAMzigUE1zZDhcPtnuECJ,Pyro,2025-07-04,,"['3IpvVrP3VLhruTmnququq7', '26JVnujQQ3lEML8t9p3X1J']","['Mike Williams', 'Blinders']",2025,147.272
1Ju9Tb5R1vsUu1Ir8sO6vX,Peace Of Mind,148214,68,"['progressive house', 'electronica', 'edm']",22V3MT04FxMnr8RxzhbIve,Peace Of Mind,2025-06-27,,"['60d24wfXkVzDSfLS6hyCjZ', '6Mek67pKmBw5N3FZnAc2J8']","['Martin Garrix', 'Citadelle']",2025,148.214
29WwN7OZGIwtRsEX18c1LO,Freedom,169153,58,"['progressive house', 'edm']",2FOoWd3HnAhZXGuw6gQrCg,Freedom,2025-07-04,,"['2GPNLOJ6KU8G9VyrLsz1Sw', '4AVFqumd2ogHFlRbKIjp1t']","['Sentinel', 'Alesso']",2025,169.153
5rxlUNPMA9XoNKp3TlP0Sv,Slow Down - GESES & LUSSO Remix,125538,49,"['big room', 'electronica', 'hardstyle', 'edm']",5PvgbAGpZABiemBrGULgYH,Slow Down (GESES & LUSSO Remix),2025-07-11,,"['3gk0OYeLFWYupGFRHqLSR7', '7ahE8B8ZhWe3fgVxLaVAXR', '6hOrbqntEsgBVm4YstRyVR']","['Showtek', 'GESES', 'LUSSO']",2025,125.538
1i4T9wZQCQDzgPllYePboc,Heart Attack,157378,57,"['big room', 'hypertechno', 'eurodance', 'techno', 'edm', 'happy hardcore']",01tKzSis1CijIgCceiBBHv,Heart Attack,2025-07-11,,"['0HlxL5hisLf59ETEPM3cUA', '37awA8DFCAnCCL7aqYbDnD', '32kPQzj1rk4nnGIIJpIUic']","['Scooter', 'Blasterjaxx', 'CERES']",2025,157.378
2gHWV4EvkLqBngzXiT2nh4,Heads Will Roll,174400,52,"['progressive trance', 'trance']",2m9tjOeOHgBIyeOYbeEd1K,Heads Will Roll,2025-07-04,,"['25DnzR3jtrD8StkyyRCvHR', '5h9NCujJrwNVZz9bDIDbvn']","['Roman Messer', 'Kayote']",2025,174.4
5Zm0lM69GIVw45fXhaL167,Bailando,135200,60,"['big room', 'edm']",5PXUWLnPxUVsaOt1gERTRx,Bailando,2025-07-11,,['2rTo8KIkBTFjQS7VvaKYQ4'],['W&W'],2025,135.2
2lHfoIhaB9w2CiwTbtrWHV,I Fink U Freeky,152800,57,"['big room', 'edm']",3rwaI63bzc3oml38TBzbYM,I Fink U Freeky,2025-07-11,,['6xQvQwZQQuq9R3TdPNbcR8'],['Bassjackers'],2025,152.8
2BwHz2Wn49ijAcUeGbvyaV,Without You,186456,26,"['big room', 'future house', 'progressive house', 'bass house', 'edm']",0sFkoU5eUdG2H9GXS45ewi,Without You,2025-07-11,,"['3Nc1RtEZe9VXTAjR8yZVdY', '6aaMlV5Qz8DK66IWgwoUH8']","['ZYNØX', 'Revealed Recordings']",2025,186.456
43qQE9Qz16kLut0niBUNZb,In The Music,172137,42,"['big room', 'hypertechno']",5wxJSMDnVj6JVAPqzeKa0w,In The Music,2025-07-11,,"['2Pfp9mATiuKRzCMLhfs3tB', '2ohUlNPwCgIpdMZFGlCSac', '7zEuC8CM2O27ZK8soLZaNU']","['R3SPAWN', 'Robert Junior', 'CAZOK']",2025,172.137
7wyv2NMXiktbhdvcFagS4G,Move Your Body,170916,68,"['big room', 'hardcore', 'hardstyle', 'frenchcore', 'electronica', 'melbourne bounce', 'electro', 'edm']",1m2EoGXSA9QtXdRawROTEZ,Move Your Body,2025-06-27,,"['73jBynjsVtofjRpdpRAJGk', '0CbeG1224FS58EUx4tPevZ', '4f0OXMMSxr0r8Ztx6CdpAl']","['Dimitri Vegas & Like Mike', 'Timmy Trumpet', 'Sub Zero Project']",2025,170.916
4Ui2jRHUtJqJ7DYu0Uj7dm,Feel It,193714,41,"['big room', 'techno']",0pnOnSFqxnSmPWHgZiG8Ci,Feel It,2025-07-04,,['5RI5dWAuSTNZy8GiWN3pzZ'],['Dirty Signal'],2025,193.714
4W2u1IJLwwFdI8CQQjPcUz,Toxik Techno,154600,45,['big room'],1f7EM9jdOMk3K2TRjDuW3T,Toxik Techno,2025-06-27,,"['7wVdHjM4odGF5lGsqVSHJT', '6fHUILCpBvfSHB48AEciPG', '6iZXOmbBpTTsKGqG8Jtb3Z']","['SaberZ', 'Castor & Pollux', 'Jason Robert']",2025,154.6
1mBF7Ulsa4z5hWor4eduYb,Hideaway,216888,61,"['big room', 'hardcore', 'hardstyle', 'frenchcore', 'progressive house', 'electronica', 'edm']",1xyCu4NGVKLg5EEbZcNHv5,Hideaway,2025-07-11,,"['6BrvowZBreEkXzJQMpL174', '0MBGxwmCdXdO26ojaNcT64', '6EdfpkgBzauysFts2D0LSO']","['Hardwell', 'Atmozfears', 'Jaimes']",2025,216.888
